Firm_Name,Industry,Sector,Emp_Number,Equity_Type,Country
3d_systems_corporation,Computer Peripherals,Technology,2472,ORD,US
3m_co,Electronic Instr. & Controls,Technology,94987,ORD,US
500.com_ltd,Computer Services,Technology,171,ADR,US
8x8_inc,Communications Services,Services,1675,ORD,US
a10_network,Software & Programming,Technology,810,ORD,US
aar_corp,Misc. Transportation,Transportation,5400,ORD,US
aarons,Rental & Leasing,Services,9000,ORD,US
abb_ltd_adr,Electronic Instr. & Controls,Technology,105600,ADR,US
abbott_laboratories,Medical Equipment & Supplies,Healthcare,109000,ORD,US
abbvie_inc,Biotechnology & Drugs,Healthcare,47000,ORD,US
aberc_fitch_a,Retail (Apparel),Services,14000,ORD,US
abm_industries_inc,Business Services,Services,114000,ORD,US
acadia_realty_trust,Real Estate Operations,Services,120,REIT,US
tpg_pace,Recreational Activities,Services,730,ORD,US
accenture_ltd,Computer Services,Technology,506000,ORD,US
acco_brands_corp,Office Supplies,Consumer/Non-Cyclical,6100,ORD,US
resource_capital_corp,Misc. Financial Services,Financial,NA,ORD,US
acuity_brands_inc,Furniture & Fixtures,Consumer Cyclical,11500,ORD,US
acushnet_holdings_corp,Recreational Products,Consumer Cyclical,5365,ORD,US
adc_therapeutics_sa,Biotechnology & Drugs,Healthcare,179,ORD,US
adecoagro_sa,Forestry & Wood Products,Basic Materials,8237,ORD,US
adient_plc,Auto & Truck Parts,Consumer Cyclical,77000,ORD,US
wms_industries_inc,Fabricated Plastic & Rubber,Basic Materials,4950,ORD,US
adt_corp,Security Systems & Services,Services,20500,ORD,US
devry_inc,Schools,Services,4002,ORD,US
advance_auto_parts,Retail (Specialty),Services,40000,ORD,US
advansix_inc,Chemicals - Plastics & Rubber,Basic Materials,1400,ORD,US
aeabridges_impact,Misc. Financial Services,Financial,NA,ORD,US
aecom_technology,Construction Services,Capital Goods,54000,ORD,US
aegon_nv,Insurance (Life),Financial,24000,ADR,US
grana_y_mont,Construction Services,Capital Goods,46762,ADR,US
aercap_holdings_nv,Rental & Leasing,Services,377,ORD,US
gencorp_inc,Aerospace & Defense,Capital Goods,4969,ORD,US
interprivate_acquisition,Misc. Financial Services,Financial,NA,ORD,US
